ID,Nome,Preço,Quantidade
1,Sabonete,1.12,1
2,Pão,2.24,2
3,Alho,4.48,3
4,Cenoura,8.96,4
5,Batata,17.92,5
6,Repolho,35.84,6
7,Maionese,71.68,7
8,Ketchup,143.36,8
9,Mostarda,286.72,9
10,Macarrão,573.44,10
11,Miojo,1.12,11
12,Sabão,2.24,12
13,Perfume,4.48,13
14,Shampoo,8.96,14
15,Condicionador,17.92,15
16,Gilete,35.84,16
17,Talheres,71.68,17
18,Refrigerante,143.36,18
19,Torta,286.72,19
20,Frango,573.44,20
21,Carne,1146.88,21
22,Vassoura,1.12,22
23,Bucha,2.24,23
24,Limpeza,4.48,24
25,Sabonete,8.96,25
26,Pão,17.92,26
27,Alho,35.84,27
28,Cenoura,71.68,28
29,Batata,143.36,29
30,Repolho,286.72,30
31,Maionese,573.44,31
32,Ketchup,1.12,32
33,Mostarda,2.24,33
34,Macarrão,4.48,34
35,Miojo,8.96,35
36,Sabão,17.92,36
37,Perfume,35.84,37
38,Shampoo,71.68,38
39,Condicionador,143.36,39
40,Gilete,286.72,40
41,Talheres,573.44,41
42,Refrigerante,1146.88,42
43,Torta,1.12,43
44,Frango,2.24,44
45,Carne,4.48,45
46,Vassoura,8.96,46
47,Bucha,17.92,47
48,Limpeza,35.84,48
49,Sabonete,71.68,49
50,Pão,143.36,50
51,Alho,286.72,51
52,Cenoura,573.44,52
53,Batata,1.12,53
54,Repolho,2.24,54
55,Maionese,4.48,55
56,Ketchup,8.96,56
57,Mostarda,17.92,57
58,Macarrão,35.84,58
59,Miojo,71.68,59
60,Sabão,143.36,60
61,Perfume,286.72,61
62,Shampoo,573.44,62
63,Condicionador,1146.88,63
64,Gilete,1.12,64
65,Talheres,2.24,65
66,Refrigerante,4.48,66
67,Torta,8.96,67
68,Frango,17.92,68
69,Carne,35.84,69
70,Vassoura,71.68,70
71,Bucha,143.36,71
72,Limpeza,286.72,72
73,Sabonete,573.44,73
74,Pão,1.12,74
75,Alho,2.24,75
76,Cenoura,4.48,76
77,Batata,8.96,77
78,Repolho,17.92,78
79,Maionese,35.84,79
80,Ketchup,71.68,80
81,Mostarda,143.36,81
82,Macarrão,286.72,82
83,Miojo,573.44,83
84,Sabão,1146.88,84
85,Perfume,1.12,85
86,Shampoo,2.24,86
87,Condicionador,4.48,87
88,Gilete,8.96,88
89,Talheres,17.92,89
90,Refrigerante,35.84,90
91,Torta,71.68,91
92,Frango,143.36,92
93,Carne,286.72,93
94,Vassoura,573.44,94
95,Bucha,1.12,95
96,Limpeza,2.24,96
97,Sabonete,4.48,97
98,Pão,8.96,98
99,Alho,17.92,99
100,Cenoura,35.84,100
101,Batata,71.68,101
102,Repolho,143.36,102
103,Maionese,286.72,103
104,Ketchup,573.44,104
105,Mostarda,1146.88,105
106,Macarrão,1.12,106
107,Miojo,2.24,107
108,Sabão,4.48,108
109,Perfume,8.96,109
110,Shampoo,17.92,110
111,Condicionador,35.84,111
112,Gilete,71.68,112
113,Talheres,143.36,113
114,Refrigerante,286.72,114
115,Torta,573.44,115
116,Frango,1.12,116
117,Carne,2.24,117
118,Vassoura,4.48,118
119,Bucha,8.96,119
120,Limpeza,17.92,120
121,Sabonete,35.84,121
122,Pão,71.68,122
123,Alho,143.36,123
124,Cenoura,286.72,124
125,Batata,573.44,125
126,Repolho,1146.88,126
127,Maionese,1.12,127
128,Ketchup,2.24,128
129,Mostarda,4.48,129
130,Macarrão,8.96,130
131,Miojo,17.92,131
132,Sabão,35.84,132
133,Perfume,71.68,133
134,Shampoo,143.36,134
135,Condicionador,286.72,135
136,Gilete,573.44,136
137,Talheres,1.12,137
138,Refrigerante,2.24,138
139,Torta,4.48,139
140,Frango,8.96,140
141,Carne,17.92,141
142,Vassoura,35.84,142
143,Bucha,71.68,143
144,Limpeza,143.36,144
145,Sabonete,286.72,145
146,Pão,573.44,146
147,Alho,1146.88,147
148,Cenoura,1.12,148
149,Batata,2.24,149
150,Repolho,4.48,150
151,Maionese,8.96,151
152,Ketchup,17.92,152
153,Mostarda,35.84,153
154,Macarrão,71.68,154
155,Miojo,143.36,155
156,Sabão,286.72,156
157,Perfume,573.44,157
158,Shampoo,1.12,158
159,Condicionador,2.24,159
160,Gilete,4.48,160
161,Talheres,8.96,161
162,Refrigerante,17.92,162
163,Torta,35.84,163
164,Frango,71.68,164
165,Carne,143.36,165
166,Vassoura,286.72,166
167,Bucha,573.44,167
168,Limpeza,1146.88,168
169,Sabonete,1.12,169
170,Pão,2.24,170
171,Alho,4.48,171
172,Cenoura,8.96,172
173,Batata,17.92,173
174,Repolho,35.84,174
175,Maionese,71.68,175
176,Ketchup,143.36,176
177,Mostarda,286.72,177
178,Macarrão,573.44,178
179,Miojo,1.12,179
180,Sabão,2.24,180
181,Perfume,4.48,181
182,Shampoo,8.96,182
183,Condicionador,17.92,183
184,Gilete,35.84,184
185,Talheres,71.68,185
186,Refrigerante,143.36,186
187,Torta,286.72,187
188,Frango,573.44,188
189,Carne,1146.88,189
190,Vassoura,1.12,190
191,Bucha,2.24,191
192,Limpeza,4.48,192
193,Frango,8.96,193
194,Carne,17.92,194
195,Vassoura,35.84,195
196,Bucha,71.68,196
197,Limpeza,143.36,197
198,Sabonete,286.72,198
199,Pão,573.44,199
200,Alho,1.12,200
201,Cenoura,2.24,201
202,Batata,4.48,202
203,Repolho,8.96,203
204,Maionese,17.92,204
205,Ketchup,35.84,205
206,Mostarda,71.68,206
207,Macarrão,143.36,207
208,Miojo,286.72,208
209,Sabão,573.44,209
210,Perfume,1146.88,210
211,Shampoo,1.12,211
212,Condicionador,2.24,212
213,Gilete,4.48,213
214,Talheres,8.96,214
215,Refrigerante,17.92,215
216,Torta,35.84,216
217,Frango,71.68,217
218,Carne,143.36,218
219,Vassoura,286.72,219
220,Bucha,573.44,220
221,Limpeza,1.12,221
222,Sabonete,2.24,222
223,Pão,4.48,223
224,Alho,8.96,224
225,Cenoura,17.92,225
226,Batata,35.84,226
227,Repolho,71.68,227
228,Maionese,143.36,228
229,Ketchup,286.72,229
230,Mostarda,573.44,230
231,Macarrão,1146.88,231
232,Miojo,1.12,232
233,Sabão,2.24,233
234,Perfume,4.48,234
235,Shampoo,8.96,235
236,Condicionador,17.92,236
237,Gilete,35.84,237
238,Talheres,71.68,238
239,Refrigerante,143.36,239
240,Torta,286.72,240
241,Frango,573.44,241
242,Carne,1.12,242
243,Vassoura,2.24,243
244,Bucha,4.48,244
245,Limpeza,8.96,245
246,Sabonete,17.92,246
247,Pão,35.84,247
248,Alho,71.68,248
249,Cenoura,143.36,249
